"Accident No","Accident type","Site/area
","Country
","Details
","Web reference/link
","Year","Month","Day","Turbine Type","Manufacturer","Power of Turbine (KW)","PowerOfWindFarm (KW)","Offshore","During Construction","FULL-DATE","Outcome","Death","Fire","Injury","Mechanical","Structural Break","Transport Accident","Component","Cause","CauseCategory","Source Database","Source of the News","Title of the article"
"1","Wind","Tjaereborg","Denmark","Damage to all 3 blades","http://www.modernpowersystems.com/story.asp?storyCode=2018094","2002","11","4","Vestas 2000 KW","Vestas","2000","19000","1","0","April 11, 2002","Structural break","0","0","0","0","1","0","Blade","Human (interference in control systems)","Human","LexisNexis","Major World Publications","Bending with the wind"
"2","Wind","Jiangsu","China","5 died & 4 injured workers ","http://www.chinadaily.com.cn/china/2012-03/11/content_14806504.htm","2012","3","10","UNKNOWN","UNKNOWN","UNKNOWN","5000","1","1","October 3, 2012","Structural break","1","0","1","0","1","0","UNKNOWN","Mechanical (platform collapse at construction site)","Mechanical","LexisNexis","Modern Power System","Death toll in China construction site accident rises to five"
"3","Wind","Ireland","UK","The turbine came loose after bolts attaching it to the hub failed, but definitely not because of a collision, examination of the components has revealed. The interim report goes no further than to say that material fatigue was the cause of the incident.","http://www.modernpowersystems.com/story.asp?storyCode=2052153","2009","1","UNKNOWN","Enercon 2000 KW","Enercon","2000","4000","0","0","UNKNOWN","Structural break","0","0","0","1","1","0","Bolt","Mechanical (material fatigue)","Mechanical","LexisNexis","The Sunday Telegraph ","ET 'not to blame'"
"4","Wind","Berwickshire, Scotland","UK","A 30m turbine near Coldingham was deliberately collapsed by its constructors, Maden Design and Build, after going out of control on Wednesday, 7 December, 2011.","http://www.windbyte.co.uk/safety.html","2011","12","7","Hannevind 22 KW","Hannevind","22","UNKNOWN","0","0","December 7, 2011","Mechanical","0","0","0","1","0","0","Tower","Mechanical ( blade system failure)","Mechanical","Google","windbyte.co.uk","Wind turbine safety"
"5","Wind","Ohio","USA","The fallen wind turbine was supplying power to Western Reserve High School.","http://www.vindy.com/news/2011/apr/11/wind-turbine-failure-western-reserve-high-school-u/","2011","4","10","Proven 15 KW","Proven","15","45","0","0","April 11, 2011","Structural break","0","0","0","0","1","0","Tower","UNKNOWN","UNKNOWN","LexisNexis","vindy.com","Wind turbine failure western reserve high school udner investigation"
"6","Wind","Wyanet, Illinois","USA","A wind turbine blade came crashing to the ground  halting energy production at a small-scale wind farm southwest of Wyanet because of what may be a defective design.","http://www.pjstar.com/news/x1795263771/Blade-breaks-off-wind-tower-near-Wyanet","2008","10","22","Suzlon 2100 KW","Suzlon","2100","8400","0","0","October 22, 2008","Structural break","0","0","0","0","1","0","Blade","Mechanical (cracks on blade)","Mechanical","LexisNexis","pjstar.com","Blade breaks off wind tower near Wyanet"
"7","Wind","Altona, N.Y.","USA","Winds were gusting up to 25 MPH in the area.","http://www.wptz.com/Wind-Turbine-Catches-Fire/-/8870596/9310122/-/sggyj2/-/index.html","2012","1","28","GE 1500 KW","GE","1500","98000","0","0","January 28, 2012","Fire","0","1","0","0","0","0","Tower","Nature (storm)","Nature","LexisNexis","wptz.com","Wind turbine catches fire"
"8","Wind","Altona, N.Y.","USA","Collapse sparked a small fire at the base of the turbine.","http://pressrepublican.com/archive/x155044066","2009","3","6","GE 1500 KW","GE","1500","98000","0","0","June 3, 2009","Fire & Structural break","0","1","0","0","1","0","Tower","Mechanical (material fatigue)","Mechanical","LexisNexis","pressrepublican.com","Wind turbine collapses in Altona"
"9","Wind","Iowa","USA","Total damage $760,000","http://siouxcityjournal.com/news/local/article_28f30fe1-66fc-5db0-85c1-662dd6009bd6.html","2010","7","31","Vestas 660 KW","Vestas","660","97680","0","0","July 31, 2010","Fire & Structural break","0","1","0","0","1","0","Tower","Nature (lightening strike)","Nature","LexisNexis","siouxcityjournal.com","Lightening strikes burns down wind turbine"
"10","Wind","North Sea","UK","""Wind Turbine tower lost overboard"".  Parts of a tower were lost overboard from a ship in the North Sea, on its way from Denmark to Lewis on the German-registered ""Lass Moon"".","http://news.bbc.co.uk/2/hi/uk_news/scotland/highlands_and_islands/6083664.stm ","2006","10","25","Nordex 1300 KW","Nordex","1300","3900","0","1","October 25, 2006","Lost Tower","0","0","0","0","0","0","Tower","Human (transportation)","Human","LexisNexis","BBC","Wind turbine tower lost overboard"
